State,year,number_breweries,population,residents_per_brewery
NH,1999,19,1201.134,63.21757894736842
NJ,1999,28,8143.412,290.8361428571429
NM,1999,26,1739.844,66.91707692307692
NV,1999,24,1809.253,75.38554166666667
NY,1999,81,18196.601,224.64939506172837
OH,1999,77,11256.654,146.19031168831168
OK,1999,10,3358.044,335.8044
OR,1999,88,3316.154,37.68356818181818
PA,1999,74,11994.016,162.08129729729728
RI,1999,6,990.819,165.13649999999998
SC,1999,22,3885.736,176.62436363636363
SD,1999,7,733.133,104.73328571428571
TN,1999,23,5483.535,238.4145652173913
TX,1999,66,20044.141,303.699106060606
UT,1999,20,2129.836,106.49179999999998
VA,1999,29,6872.912,236.9969655172414
VT,1999,24,593.74,24.739166666666666
WA,1999,118,5756.361,48.78272033898305
WI,1999,77,5250.446,68.18761038961038
WV,1999,5,1806.928,361.3856
WY,1999,13,479.602,36.89246153846154
AK,2000,17,627.963,36.939
AL,2000,7,4452.173,636.0247142857143
AR,2000,5,2678.588,535.7176000000001
AZ,2000,45,5160.586,114.67968888888889
CA,2000,281,33987.977,120.95365480427046
CO,2000,102,4326.921,42.42079411764706
CT,2000,27,3411.777,126.36211111111112
DC,2000,4,572.046,143.0115
DE,2000,8,786.373,98.296625
FL,2000,92,16047.515,174.4295108695652
GA,2000,29,8227.303,283.70010344827585
HI,2000,15,1213.519,80.90126666666667
IA,2000,13,2929.067,225.31284615384615
ID,2000,24,1299.43,54.14291666666667
IL,2000,45,12434.161,276.3146888888889
IN,2000,26,6091.866,234.30253846153846
KS,2000,10,2693.681,269.3681
KY,2000,15,4049.021,269.9347333333333
LA,2000,12,4471.885,372.65708333333333
MA,2000,45,6361.104,141.35786666666667
MD,2000,25,5311.034,212.44135999999997
ME,2000,42,1277.072,30.406476190476187
MI,2000,77,9952.45,129.25259740259742
MN,2000,41,4933.692,120.3339512195122
MO,2000,32,5607.285,175.22765625
MS,2000,4,2848.353,712.08825
MT,2000,25,903.773,36.15092
NC,2000,51,8081.614,158.46301960784314
ND,2000,3,642.023,214.00766666666667
NE,2000,9,1713.82,190.42444444444445
NH,2000,19,1239.882,65.25694736842105
NJ,2000,24,8430.621,351.275875
NM,2000,26,1821.204,70.04630769230769
NV,2000,22,2018.741,91.76095454545454
NY,2000,78,19001.78,243.61256410256408
OH,2000,87,11363.543,130.6154367816092
OK,2000,9,3454.365,383.8183333333333
OR,2000,82,3429.708,41.825707317073174
PA,2000,73,12284.173,168.27634246575343
RI,2000,8,1050.268,131.2835
SC,2000,19,4024.223,211.8012105263158
SD,2000,7,755.844,107.9777142857143
TN,2000,23,5703.719,247.98778260869565
TX,2000,59,20944.499,354.9915084745763
UT,2000,20,2244.502,112.2251
VA,2000,31,7105.817,229.21990322580646
VT,2000,23,609.618,26.50513043478261
WA,2000,113,5910.512,52.30541592920354
WI,2000,91,5373.999,59.05493406593406
WV,2000,6,1807.021,301.17016666666666
WY,2000,13,494.3,38.02307692307692
AK,2001,17,633.714,37.27729411764706
AL,2001,4,4467.634,1116.9085
AR,2001,5,2691.571,538.3142
AZ,2001,45,5273.477,117.18837777777777
CA,2001,266,34479.458,129.62202255639096
CO,2001,102,4425.687,43.38908823529412
CT,2001,22,3432.835,156.03795454545454
DC,2001,5,574.504,114.9008
DE,2001,8,795.699,99.462375
FL,2001,84,16356.966,194.7257857142857
GA,2001,30,8377.038,279.2346
HI,2001,14,1225.948,87.56771428571429
IA,2001,16,2931.997,183.2498125
ID,2001,20,1319.962,65.9981
IL,2001,41,12488.445,304.5962195121951
IN,2001,23,6127.76,266.42434782608694
KS,2001,8,2702.162,337.77025
KY,2001,10,4068.132,406.8132
LA,2001,9,4477.875,497.5416666666667
MA,2001,46,6397.634,139.079
MD,2001,26,5374.691,206.7188846153846
ME,2001,39,1285.692,32.96646153846154
MI,2001,71,9991.12,140.72
MN,2001,37,4982.796,134.67016216216217
MO,2001,26,5641.142,216.96699999999998
MS,2001,4,2852.994,713.2485
MT,2001,26,906.961,34.88311538461539
NC,2001,38,8210.122,216.05584210526314
ND,2001,3,639.062,213.02066666666667
NE,2001,11,1719.836,156.34872727272727
NH,2001,17,1255.517,73.85394117647058
NJ,2001,22,8492.671,386.0305
NM,2001,23,1831.69,79.63869565217392
NV,2001,16,2098.399,131.1499375
NY,2001,83,19082.838,229.91371084337348
OH,2001,74,11387.404,153.88383783783783
OK,2001,6,3467.1,577.85
OR,2001,82,3467.937,42.29191463414634
PA,2001,81,12298.97,151.83913580246912
RI,2001,7,1057.142,151.02028571428573
SC,2001,19,4064.995,213.94710526315788
SD,2001,6,757.972,126.32866666666666
TN,2001,23,5750.789,250.03430434782607
TX,2001,47,21319.622,453.6089787234042
UT,2001,16,2283.715,142.7321875
VA,2001,29,7198.362,248.21937931034483
VT,2001,19,612.223,32.22226315789474
WA,2001,94,5985.722,63.677893617021276
WI,2001,82,5406.835,65.93701219512195
WV,2001,4,1801.481,450.37025
WY,2001,11,494.657,44.96881818181818
AK,2002,19,642.337,33.80721052631579
AL,2002,3,4480.089,1493.363
AR,2002,4,2705.927,676.48175
AZ,2002,39,5396.255,138.36551282051283
CA,2002,270,34871.843,129.1549740740741
CO,2002,102,4490.406,44.02358823529412
CT,2002,17,3458.749,203.45582352941176
DC,2002,5,573.158,114.6316
DE,2002,8,806.169,100.771125
FL,2002,83,16689.37,201.0767469879518
GA,2002,25,8508.256,340.33024
HI,2002,13,1239.613,95.35484615384615
IA,2002,15,2934.234,195.6156
ID,2002,19,1340.372,70.54589473684211
IL,2002,43,12525.556,291.29200000000003
IN,2002,23,6155.967,267.6507391304348
KS,2002,8,2713.535,339.191875
KY,2002,10,4089.875,408.9875
LA,2002,7,4497.267,642.4667142857143
MA,2002,43,6417.206,149.2373488372093
MD,2002,26,5440.389,209.24573076923076
ME,2002,38,1295.96,34.10421052631579
MI,2002,69,10015.71,145.15521739130435
MN,2002,37,5018.935,135.6468918918919
MO,2002,28,5674.825,202.67232142857142
MS,2002,4,2858.681,714.67025
MT,2002,28,911.667,32.559535714285715
NC,2002,38,8326.201,219.1105526315789
ND,2002,3,638.168,212.72266666666667
NE,2002,10,1728.292,172.8292
NH,2002,17,1269.089,74.65229411764706
NJ,2002,20,8552.643,427.63215
NM,2002,23,1855.309,80.66560869565217
NV,2002,17,2173.791,127.87005882352942
NY,2002,84,19137.8,227.83095238095237
OH,2002,64,11407.889,178.248265625
OK,2002,6,3489.08,581.5133333333333
OR,2002,81,3513.424,43.37560493827161
PA,2002,76,12331.031,162.25040789473687
RI,2002,7,1065.995,152.285
SC,2002,19,4107.795,216.19973684210527
SD,2002,7,760.02,108.57428571428571
TN,2002,22,5795.918,263.4508181818182
