"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production","population","percent_in_brewery","prodcution_PP","consumed_in_brewery_PP","percent_in_can","percent_in_keg","Total Production","Brewery Consumption (PP)","Consumed in Brewery (%)","Canned or Bottled (%)","Kegged (%)","Total Production (PP)"
"124","ME",2009,74021.63,47649.73,5528.07,127199.43,1329.59,4.34598645607138,95.668160861619,4.15772531381855,58.1933661180714,37.4606474258572,127199,4.16,4.35,58.19,37.46,4.16
"125","MI",2009,95754.44,94996.8,22590.99,213342.23,9901.591,10.5890849645661,21.5462575660821,2.28155152035668,44.8830219877237,44.5278930477103,213342,2.28,10.59,44.88,44.53,2.28
"126","MN",2009,221315.48,67335.83,7928.92,296580.23,5281.203,2.67344859770323,56.1577030839375,1.50134732559987,74.622465563534,22.7040858387628,296580,1.5,2.67,74.62,22.7,1.5
"127","MO",2009,13429771.56,1382551.86,13213.42,14825536.84,5961.088,0.0891260811841199,2487.05216900002,2.21661213523437,90.585398052945,9.3254758658709,14825537,2.22,0.09,90.59,9.33,2.22
"128","MS",2009,3521.57,3585.07,5.81,7112.45,2958.774,0.0816877447293127,2.40385037856896,0.00196365116092003,49.5127558014468,50.4055564538239,7112,0,0.08,49.51,50.41,0
"129","MT",2009,36322.98,35824.92,1827.57,73975.47,983.982,2.47050812924879,75.1796984091173,1.85732056074196,49.1013845535554,48.4281073171958,73975,1.86,2.47,49.1,48.43,1.86
"130","NC",2009,7129633.14,766996.13,14406.8,7911036.07,9449.566,0.1821101543783,837.185122576,1.52459911915531,90.1226220802707,9.69526776535099,7911036,1.52,0.18,90.12,9.7,1.52
"131","ND",2009,0,0,626.62,626.62,664.968,100,0.942331059539707,0.942331059539707,0,0,627,0.94,100,0,0,0.94
"132","NE",2009,2575.65,4091.47,5007.46,11674.58,1812.683,42.8919926883879,6.44049731806389,2.76245763875978,22.0620356363998,35.0459716752123,11675,2.76,42.89,22.06,35.05,2.76
"133","NH",2009,2817627.46,338988.75,4645.59,3161261.8,1316.102,0.146953662616617,2401.9884477039,3.52980999952891,89.1298360673577,10.7232102700257,3161262,3.53,0.15,89.13,10.72,3.53
"134","NJ",2009,6522536.49,487051.21,4944.87,7014532.57,8755.602,0.0704946473717778,801.147947337031,0.564766420401476,92.9860461108387,6.94345924178951,7014533,0.56,0.07,92.99,6.94,0.56
"135","NM",2009,6387.49,7739.68,8925.99,23053.16,2036.802,38.719160410113,11.3183117455698,4.38235528048382,27.7076548290993,33.5731847607877,23053,4.38,38.72,27.71,33.57,4.38
"136","NV",2009,700.47,13983.77,14003.16,28687.4,2684.665,48.8129283239331,10.6856535172917,5.21598039233945,2.44173400168715,48.7453376743797,28687,5.22,48.81,2.44,48.75,5.22
"137","NY",2009,6307846.95,650087.06,12034.5,6969968.51,19307.066,0.172662186102187,361.006095384975,0.623321016253842,90.5003651157098,9.32697269818799,6969969,0.62,0.17,90.5,9.33,0.62
"138","OH",2009,17920640.25,1895495.69,7718.23,19823854.17,11528.896,0.0389340535589705,1719.49284389416,0.669468264784416,90.399374896128,9.56169105031305,19823854,0.67,0.04,90.4,9.56,0.67
